id,geometry,power,location,name,ref,substation,voltage,operator,source,barrier,operator:wikidata,frequency,operator:wikipedia,area
480009927,"POLYGON ((146.4315991 -38.278978, 146.4307508 -38.2828673, 146.4310017 -38.2829739, 146.4306226 -38.2848436, 146.4253333 -38.284283, 146.4266449 -38.2777476, 146.4280503 -38.2780245, 146.4292842 -38.2781814, 146.4300647 -38.2782045, 146.4298448 -38.2787519, 146.4315991 -38.278978))",substation,outdoor,Hazelwood Terminal Station,HWTS,transmission,500000;220000,AusNet,,,,,,
509601316,"POLYGON ((145.5251676 -38.5852367, 145.5250697 -38.5852943, 145.5253541 -38.5855627, 145.5254573 -38.5854966, 145.5251676 -38.5852367))",substation,indoor,Wonthaggi Desalination Plant,WDP,industrial,220000;22000,,,,,,,
510395858,"POLYGON ((146.3657288 -38.2698094, 146.3656231 -38.270264, 146.3660297 -38.2703189, 146.3661225 -38.2698617, 146.3657288 -38.2698094))",substation,outdoor,Morwell South Zone Substation,MWS,industrial,66000,,,,,,,
510395859,"POLYGON ((146.3740683 -38.2409095, 146.3744532 -38.2408031, 146.3743083 -38.2404734, 146.3739261 -38.2405798, 146.3740683 -38.2409095))",substation,outdoor,Morwell North Zone Substation,MWN,industrial,66000,,,,,,,
510484130,"POLYGON ((146.4414745 -38.1823922, 146.4413766 -38.1828244, 146.4408214 -38.1827496, 146.4409287 -38.1823163, 146.4414745 -38.1823922))",substation,outdoor,Australian Paper Maryvale Substation,APM,industrial,66000,,,,,,,
510588765,"POLYGON ((146.5597272 -38.1886958, 146.560701 -38.1888134, 146.5605032 -38.1897388, 146.5603877 -38.1898136, 146.5601182 -38.1897693, 146.5600136 -38.189762, 146.5598567 -38.1897578, 146.5594972 -38.1898168, 146.5595841 -38.189406, 146.5596092 -38.1892871, 146.5597272 -38.1886958))",substation,outdoor,Traralgon Zone Substation,TGN,distribution,66000;22000,AusNet Services,,,,,,
511184335,"POLYGON ((146.2556329 -38.1699775, 146.2565287 -38.1700851, 146.2563919 -38.1708716, 146.2560486 -38.1710698, 146.2554666 -38.170996, 146.2554505 -38.1708969, 146.2556329 -38.1699775))",substation,outdoor,Moe Zone Substation,MOE,distribution,66000;22000,AusNet,,,,,,
511211297,"POLYGON ((145.9424769 -38.1537206, 145.9424299 -38.1537575, 145.942383 -38.1540275, 145.9427545 -38.1540718, 145.9426887 -38.1541519, 145.9431394 -38.1542089, 145.943307 -38.1540528, 145.9435806 -38.1538535, 145.9438998 -38.15367, 145.9425238 -38.1535002, 145.9424769 -38.1537206))",substation,outdoor,Warragul Zone Substation,WGL,distribution,66000;22000,AusNet,,,Q7392701,,en:AusNet Services,
529128928,"POLYGON ((145.8316995 -38.5775154, 145.8326731 -38.5775783, 145.8325927 -38.5783332, 145.8316163 -38.5782703, 145.8316995 -38.5775154))",substation,outdoor,Leongatha South Switching Station,LSSS,transmission,66000,AusNet,,,,,,
529128929,"POLYGON ((145.9483965 -38.7470655, 145.9487009 -38.7473824, 145.9498127 -38.7467235, 145.9495123 -38.7464128, 145.9483965 -38.7470655))",substation,outdoor,Bald Hills Wind Farm Substation,BHWF,transmission,66000;33000,,,,,,,
529168106,"POLYGON ((145.9585336 -38.4730361, 145.9579663 -38.4729657, 145.9578175 -38.4728502, 145.9579194 -38.4727841, 145.9579704 -38.4726833, 145.9578228 -38.4726381, 145.9579784 -38.4723179, 145.958138 -38.4723641, 145.9581782 -38.4722791, 145.9588837 -38.4723525, 145.9586597 -38.4727998, 145.9585618 -38.4728786, 145.9586014 -38.4729111, 145.9585336 -38.4730361))",substation,outdoor,Leongatha Zone Substation,LGA,distribution,66000;22000,AusNet,,,,,,
529871668,"POLYGON ((146.4044906 -38.2530056, 146.404197 -38.2533143, 146.4046765 -38.2535986, 146.4049653 -38.2532951, 146.4044906 -38.2530056))",substation,outdoor,Morwell East Zone Substation,MWE,industrial,22000;6600,AusNet,,,,,,
529871672,"POLYGON ((146.4217841 -38.2564068, 146.4206168 -38.2559719, 146.4204306 -38.2562936, 146.4215678 -38.2567028, 146.4216676 -38.2565092, 146.4217521 -38.2564628, 146.4217841 -38.2564068))",substation,outdoor,Morwell Terminal Station 22kV Yard,MWL,distribution,22000,AusNet,,,,,,
529871679,"POLYGON ((146.3402993 -38.6532956, 146.3402517 -38.6532663, 146.3402209 -38.6531354, 146.3401424 -38.6530985, 146.3399889 -38.6533009, 146.3402242 -38.6533983, 146.3402993 -38.6532956))",substation,outdoor,Toora Wind Farm Substation,TWF,distribution,66000,,,,,,,
529871688,"POLYGON ((146.2215552 -38.6595273, 146.2224457 -38.6596435, 146.2224095 -38.6598373, 146.2221587 -38.6600572, 146.2217121 -38.6600101, 146.2215163 -38.6597074, 146.2215552 -38.6595273))",substation,outdoor,Foster Zone Substation,FTR,distribution,66000;22000,AusNet,,,,,,
531155444,"POLYGON ((147.0963228 -38.1017107, 147.0964616 -38.1016268, 147.0966165 -38.1008654, 147.0953599 -38.1007103, 147.0951835 -38.1015793, 147.0963228 -38.1017107))",substation,outdoor,Sale Zone Substation,SLE,distribution,66000;22000,AusNet,,,,,,
531155447,"POLYGON ((146.9815378 -37.9710167, 146.9827287 -37.971174, 146.9828305 -37.9710609, 146.9818795 -37.9705214, 146.9817167 -37.97068, 146.9817637 -37.970716, 146.9817529 -37.9707815, 146.9816081 -37.9707646, 146.9815947 -37.9708259, 146.9815692 -37.9708291, 146.9815378 -37.9710167))",substation,outdoor,Maffra Zone Substation,MFA,distribution,66000;22000,AusNet,,,,,,
531189111,"POLYGON ((147.1601117 -38.2247482, 147.1604389 -38.224783, 147.1603839 -38.2250274, 147.1600594 -38.2249894, 147.1601117 -38.2247482))",substation,outdoor,ESSO Longford,LFD,industrial,66000,AusNet,,,,,,
543835573,"POLYGON ((147.6472754 -37.807946, 147.6479206 -37.8080245, 147.6484421 -37.808088, 147.6480908 -37.8087936, 147.6471198 -37.8086686, 147.6472754 -37.807946))",substation,outdoor,Bairnsdale Zone Substation,BDL,distribution,66000;22000,AusNet,,,,,,
544001394,"POLYGON ((146.9976375 -37.9503552, 146.9979137 -37.9503034, 146.9980344 -37.9506904, 146.9977555 -37.9507486, 146.9976375 -37.9503552))",substation,outdoor,Maffra North Substation,,transmission,66000,AusNet,,,,,,
544333582,"POLYGON ((148.4255412 -37.7401545, 148.4259228 -37.7384895, 148.4240694 -37.7392699, 148.4255412 -37.7401545))",substation,outdoor,Newmerella Zone Substation,NLA,distribution,66000;22000,AusNet,,,,,,
569183386,"POLYGON ((146.5767561 -38.2463535, 146.5773851 -38.2461302, 146.5776364 -38.2465669, 146.5770074 -38.2467902, 146.5767561 -38.2463535))",substation,outdoor,Loy Yang South Zone Substation,LYS,industrial,66000,AusNet,,,,,,
806837511,"POLYGON ((146.4248951 -38.2754746, 146.4250994 -38.2752908, 146.4242089 -38.2746809, 146.4239149 -38.2749455, 146.4248053 -38.2755554, 146.4248951 -38.2754746))",substation,,,,,,,,,,,,
806837512,"POLYGON ((146.425306 -38.2755985, 146.4255979 -38.2753364, 146.4264863 -38.2759459, 146.4261884 -38.2762136, 146.425306 -38.2755985))",substation,,,,,,,,,,,,
1019299109,"POLYGON ((146.8281733 -37.9840697, 146.8279838 -37.9840503, 146.8279719 -37.9841225, 146.8281615 -37.9841419, 146.8281733 -37.9840697))",substation,,,,yes,,,,fence,,,,
1210506244,"POLYGON ((145.501531 -38.549841, 145.5015165 -38.5499163, 145.5016354 -38.5499304, 145.5016499 -38.549855, 145.501531 -38.549841))",substation,,,,,,,,,,,,
1224398817,"POLYGON ((145.9189223 -38.0769925, 145.9188546 -38.0770789, 145.9189359 -38.0771183, 145.9190035 -38.0770319, 145.9189223 -38.0769925))",substation,,,,minor_distribution,,,,,,,,
11450631273,POINT (147.6295252 -37.1211073),substation,,,,,,,,,,,,
