,geometry,power,source,location,rating,transformer,voltage:primary,voltage:secondary,switch,voltage,generator:method,generator:output:electricity,generator:source,generator:type,operator,compensator,phases,cables,circuits,wires,layer,ref,landuse,name,plant:method,plant:output:electricity,plant:source,wikidata,substation,line,distance,operator:wikidata,operator:wikipedia,source:geometry
480009927,"POLYGON ((146.4315991 -38.278978, 146.4307508 -38.2828673, 146.4310017 -38.2829739, 146.4306226 -38.2848436, 146.4253333 -38.284283, 146.4266449 -38.2777476, 146.4280503 -38.2780245, 146.4292842 -38.2781814, 146.4300647 -38.2782045, 146.4298448 -38.2787519, 146.4315991 -38.278978))",substation,,outdoor,,,,,,500000;220000,,,,,AusNet,,,,,,,HWTS,,Hazelwood Terminal Station,,,,,transmission,,0.0,,,
64943050,"POLYGON ((145.0695142 -37.6447238, 145.06971 -37.6422625, 145.0702947 -37.6421266, 145.0710297 -37.6420119, 145.0715929 -37.6419609, 145.0722206 -37.6419397, 145.0727355 -37.6419482, 145.0732344 -37.6419864, 145.0748169 -37.6421606, 145.0806413 -37.6427914, 145.0798179 -37.6474786, 145.0732009 -37.6482735, 145.0731353 -37.6479028, 145.0707124 -37.648202, 145.0706788 -37.6481173, 145.0707917 -37.6480356, 145.07078 -37.647968, 145.0707765 -37.6479434, 145.070744 -37.647863, 145.0710147 -37.6447936, 145.0695142 -37.6447238))",substation,nearmap,outdoor,,,,,,500000;330000;220000;66000,,,,,AusNet,,,,,,,SMTS,,South Morang Terminal Station,,,,,transmission,,0.0,Q7392701,en:AusNet Services,
